"market_id","store_primary_category","order_protocol","total_items","subtotal","min_item_price","max_item_price","total_onshift_partners","total_busy_partners","total_outstanding_orders","created_day","created_holiday","created_at","actual_delivery_time","complaint","complaint_id"
"AREA C","chinese","Protocol 1",4,3610,125,1495,13.0,9.0,9,"Sunday","NO","01:42:41","02:42:04","YES","0015"
"AREA D","sandwich","Protocol 5",6,5779,797,898,31.0,29.0,37,"Saturday","NO","20:14:41","21:11:17","",""
"AREA E","other","Protocol 1",1,1100,800,800,26.0,22.0,35,"Saturday","NO","02:28:48","03:14:50","",""
"AREA A","steak","Protocol 1",4,3596,899,899,6.0,6.0,5,"Sunday","NO","22:32:55","23:12:40","",""
"AREA B","sandwich","Protocol 3",3,1927,329,479,33.0,32.0,54,"Monday","NO","19:52:29","20:36:19","",""
"AREA D","chinese","Protocol 4",1,710,710,710,80.0,78.0,91,"Thursday","NO","01:31:59","01:54:46","",""
"AREA E","american","Protocol 1",2,2089,500,1589,18.0,17.0,18,"Monday","NO","04:44:51","05:29:11","",""
"AREA C","comfort-food","Protocol 1",4,3485,400,1095,8.0,6.0,4,"Sunday","NO","02:07:11","03:10:01","",""
"AREA B","pizza","Protocol 1",2,3215,1025,1895,112.0,100.0,207,"Saturday","NO","02:29:07","03:23:57","",""
"AREA B","fast","Protocol 4",5,2226,172,482,30.0,22.0,31,"Thursday","NO","00:28:14","01:02:49","YES","0016"
"AREA B","burger","Protocol 1",4,2895,499,799,106.0,89.0,153,"Friday","NO","02:12:44","03:17:27","",""
"AREA B","italian","Protocol 5",2,3200,1200,2000,114.0,109.0,185,"Sunday","NO","02:29:05","03:29:57","YES","0017"
"AREA D","mexican","Protocol 5",3,2460,395,1085,125.0,58.0,117,"Saturday","NO","01:43:08","02:25:50","",""
"AREA C","pizza","Protocol 5",2,2600,1300,1300,50.0,42.0,46,"Sunday","NO","01:41:53","02:20:32","",""
"AREA A","other","Protocol 1",3,2825,775,825,5.0,5.0,5,"Saturday","NO","22:44:22","23:14:40","YES","0018"
"AREA D","sushi","Protocol 1",8,5395,200,1175,104.0,101.0,148,"Thursday","NO","03:13:37","03:54:59","YES","0019"
"AREA A","italian","Protocol 1",1,1099,1099,1099,0.0,0.0,0,"Tuesday","NO","20:24:51","21:09:02","YES","0020"
"AREA D","korean","Protocol 2",2,2804,682,1453,75.0,71.0,120,"Tuesday","NO","03:45:26","04:28:42","YES","0021"
"AREA C","dim-sum","Protocol 1",6,5600,695,1145,46.0,46.0,58,"Monday","NO","01:49:05","03:01:29","",""
"AREA A","mexican","Protocol 1",1,1229,1029,1029,13.0,12.0,12,"Friday","NO","02:23:37","03:05:19","",""
"AREA F","italian","Protocol 1",3,3700,900,1600,"","","","Saturday","NO","02:58:41","03:47:52","",""
"AREA A","pizza","Protocol 5",1,1150,1000,1000,48.0,48.0,68,"Sunday","NO","04:33:16","05:16:41","",""
"AREA D","mediterranean","Protocol 2",1,1120,895,895,39.0,80.0,19,"Monday","YES","21:56:23","22:15:08","",""
"AREA B","hawaiian","Protocol 3",4,1780,250,695,25.0,25.0,39,"Thursday","NO","18:58:31","19:49:42","",""
"AREA B","malaysian","Protocol 3",5,6050,750,1900,39.0,32.0,49,"Tuesday","NO","01:03:04","01:45:10","",""
"AREA E","indian","Protocol 3",8,6990,195,1495,17.0,11.0,15,"Thursday","NO","02:05:04","02:56:36","",""
"AREA B","american","Protocol 3",3,2995,875,1095,92.0,75.0,104,"Friday","NO","03:41:41","04:40:18","",""
"AREA D","american","Protocol 4",2,1617,299,899,16.0,13.0,12,"Friday","NO","05:21:03","06:04:20","",""
"AREA A","american","Protocol 1",1,2264,1402,1455,50.0,47.0,90,"Tuesday","NO","02:30:53","03:45:08","",""
"AREA A","fast","Protocol 4",3,876,129,189,23.0,24.0,25,"Thursday","NO","04:12:30","04:36:47","",""
"AREA B","mexican","Protocol 5",1,999,999,999,51.0,44.0,46,"Sunday","NO","00:13:57","01:03:07","",""
"AREA B","burger","Protocol 1",2,1978,500,1079,47.0,35.0,40,"Friday","NO","04:57:25","05:42:08","",""
"AREA D","dessert","Protocol 5",1,795,795,795,18.0,15.0,15,"Sunday","NO","18:21:33","18:42:06","",""
"AREA B","pizza","Protocol 1",1,1450,1275,1275,62.0,80.0,56,"Monday","YES","01:02:21","01:46:01","",""
"AREA B","smoothie","Protocol 2",1,999,999,999,53.0,55.0,71,"Sunday","NO","19:41:19","20:22:58","",""
"AREA B","pizza","Protocol 3",1,1600,1600,1600,75.0,72.0,147,"Monday","NO","02:39:12","03:55:38","",""
"AREA A","pizza","Protocol 3",2,2345,1150,1195,"","","","Tuesday","NO","19:59:19","20:32:21","",""
"AREA B","mexican","Protocol 1",3,1856,293,1000,19.0,15.0,13,"Thursday","NO","05:35:30","06:08:10","",""
"AREA B","japanese","Protocol 5",1,1199,1199,1199,43.0,36.0,47,"Wednesday","NO","03:22:13","04:03:19","YES","0022"
"AREA A","smoothie","Protocol 4",2,1078,449,449,0.0,0.0,0,"Thursday","NO","18:06:56","19:09:25","",""
"AREA C","asian","Protocol 5",2,2190,1095,1095,37.0,33.0,31,"Saturday","NO","04:13:12","04:43:13","",""
"AREA D","dessert","Protocol 5",2,2300,1150,1150,102.0,95.0,189,"Monday","NO","01:46:09","02:42:22","",""
"AREA A","american","Protocol 1",2,1800,600,1200,11.0,11.0,11,"Friday","NO","04:56:31","05:21:18","YES","0023"
"AREA A","burger","Protocol 1",3,1937,279,869,7.0,7.0,9,"Saturday","NO","20:29:39","21:15:06","YES","0024"
"AREA B","chinese","Protocol 1",3,3220,175,1650,8.0,7.0,6,"Wednesday","NO","02:23:05","04:11:25","YES","0025"
"AREA E","thai","Protocol 1",4,3435,150,895,19.0,9.0,14,"Wednesday","NO","02:34:01","03:43:22","",""
"AREA A","salad","Protocol 4",3,3240,850,980,59.0,59.0,75,"Sunday","NO","02:17:41","03:08:50","",""
"AREA A","other","Protocol 1",2,1850,650,850,9.0,11.0,13,"Wednesday","NO","00:07:50","00:58:05","",""
"AREA B","dessert","Protocol 5",1,630,400,400,75.0,76.0,119,"Monday","NO","01:25:27","02:18:58","",""
"AREA A","pizza","Protocol 1",2,700,250,450,8.0,5.0,5,"Saturday","NO","16:27:48","17:05:35","",""
"AREA D","japanese","Protocol 5",2,1075,475,600,90.0,78.0,112,"Wednesday","NO","02:57:58","03:34:12","",""
"AREA F","mexican","Protocol 2",2,1225,200,1025,"","","","Friday","NO","03:06:17","03:30:02","",""
"AREA D","mexican","Protocol 3",7,5498,690,1085,33.0,83.0,19,"Monday","YES","18:43:43","19:18:53","YES","0026"
"AREA A","chinese","Protocol 1",2,890,160,710,0.0,0.0,0,"Friday","NO","04:08:13","04:34:16","",""
"AREA D","thai","Protocol 2",5,3825,150,950,96.0,94.0,186,"Thursday","NO","02:35:05","03:42:48","YES","0027"
"AREA B","sushi","Protocol 5",4,5450,700,1650,57.0,55.0,73,"Wednesday","NO","01:48:32","02:32:02","",""
"AREA B","pizza","Protocol 3",4,1438,70,699,65.0,65.0,92,"Friday","NO","03:41:42","04:21:40","",""
"AREA D","thai","Protocol 2",2,2000,900,1000,66.0,65.0,79,"Tuesday","NO","19:52:24","20:19:29","",""
"AREA A","greek","Protocol 5",1,1749,1699,1699,52.0,52.0,56,"Wednesday","NO","02:53:25","03:30:55","",""
"AREA A","","Protocol 5",1,720,375,375,15.0,11.0,11,"Friday","NO","23:15:47","00:02:37","YES","0028"
"AREA A","seafood","Protocol 1",5,6600,500,2100,64.0,62.0,89,"Saturday","NO","03:01:13","04:04:34","",""
"AREA D","breakfast","Protocol 1",2,675,100,425,9.0,7.0,7,"Friday","NO","18:29:07","18:46:00","YES","0029"
"AREA D","chinese","Protocol 5",1,1700,1700,1700,117.0,114.0,189,"Sunday","NO","03:31:51","04:17:40","YES","0030"
"AREA E","sushi","Protocol 3",2,3590,1395,2195,64.0,62.0,112,"Saturday","NO","03:32:07","04:26:00","YES","0031"
"AREA A","smoothie","Protocol 4",1,579,449,449,25.0,23.0,23,"Saturday","NO","22:27:04","23:04:58","YES","0032"
"AREA A","mediterranean","Protocol 3",4,4280,995,1095,16.0,17.0,27,"Sunday","NO","00:58:23","02:02:02","",""
"AREA D","thai","Protocol 5",8,6395,175,1150,50.0,51.0,74,"Tuesday","NO","04:30:30","05:17:37","YES","0033"
"AREA A","american","Protocol 1",2,2600,675,1550,16.0,16.0,25,"Wednesday","NO","03:32:13","04:27:59","",""
"AREA D","pizza","Protocol 5",1,1900,1900,1900,108.0,106.0,174,"Monday","NO","02:39:36","03:27:25","YES","0034"
"AREA B","sandwich","Protocol 3",1,549,549,549,34.0,37.0,42,"Saturday","NO","00:11:48","00:44:23","",""
"AREA D","indian","Protocol 3",2,1800,850,850,13.0,15.0,15,"Wednesday","NO","22:15:06","22:36:33","YES","0035"
"AREA B","cafe","Protocol 2",3,4800,1600,1600,48.0,58.0,83,"Sunday","NO","02:54:59","03:54:00","",""
"AREA C","seafood","Protocol 1",1,1099,1099,1099,19.0,21.0,34,"Tuesday","NO","02:09:58","02:50:04","",""
"AREA C","chinese","Protocol 4",1,3225,3100,3100,5.0,2.0,2,"Tuesday","NO","01:19:48","01:46:41","",""
"AREA F","southern","Protocol 2",2,3500,1600,1900,"","","","Wednesday","NO","02:37:57","03:13:42","",""
"AREA A","vietnamese","Protocol 5",2,1955,805,1150,33.0,32.0,38,"Thursday","NO","20:00:40","20:56:40","",""
"AREA D","vietnamese","Protocol 2",4,3480,295,995,68.0,67.0,95,"Friday","NO","20:02:22","20:36:56","YES","0036"
"AREA B","indian","Protocol 3",5,2479,280,399,17.0,15.0,19,"Monday","NO","18:35:42","19:09:53","",""
"AREA B","indian","Protocol 2",3,3540,950,1395,39.0,35.0,39,"Saturday","NO","22:03:39","22:55:07","",""
"AREA A","burger","Protocol 2",2,1145,350,795,0.0,0.0,0,"Friday","NO","20:49:04","21:33:23","",""
"AREA F","chinese","Protocol 5",3,2125,475,1175,"","","","Saturday","NO","21:44:42","22:26:20","",""
"AREA A","pizza","Protocol 1",2,3990,1995,1995,22.0,23.0,36,"Sunday","NO","23:01:00","00:20:54","",""
"AREA D","chinese","Protocol 2",5,2095,150,750,4.0,5.0,8,"Saturday","NO","21:24:07","22:20:42","",""
"AREA D","burger","Protocol 5",3,2217,399,549,55.0,55.0,109,"Thursday","NO","03:02:09","04:23:09","",""
"AREA B","dessert","Protocol 5",2,1600,550,1050,9.0,9.0,10,"Wednesday","NO","17:23:07","18:02:29","",""
"AREA E","cafe","Protocol 4",5,2255,295,425,7.0,6.0,8,"Tuesday","NO","18:54:49","19:25:04","",""
"AREA B","seafood","Protocol 5",1,2150,1650,1650,52.0,39.0,43,"Friday","NO","04:22:56","05:11:13","",""
"AREA D","pizza","Protocol 3",3,2557,149,1329,77.0,71.0,144,"Thursday","NO","20:12:09","21:24:25","",""
"AREA D","","Protocol 3",7,5750,150,1125,126.0,106.0,178,"Saturday","NO","02:24:45","03:20:24","YES","0037"
"AREA C","american","Protocol 5",4,4050,700,1650,19.0,16.0,18,"Thursday","NO","00:59:14","01:46:29","",""
"AREA E","italian","Protocol 2",6,5220,250,1150,23.0,14.0,14,"Saturday","NO","22:14:05","23:03:35","",""
"AREA D","burger","Protocol 4",3,1397,229,679,68.0,35.0,36,"Friday","NO","00:54:09","01:43:28","",""
"AREA D","american","Protocol 1",7,3230,250,990,20.0,20.0,27,"Monday","NO","21:48:19","22:36:26","",""
"AREA F","burger","Protocol 1",4,2540,575,695,"","","","Monday","NO","02:30:36","03:40:38","",""
"AREA B","mexican","Protocol 5",3,1797,399,999,92.0,78.0,102,"Wednesday","NO","03:46:34","04:23:16","",""
"AREA D","american","Protocol 3",2,2375,850,1525,82.0,103.0,98,"Sunday","NO","01:20:35","02:02:43","",""
"AREA D","thai","Protocol 3",1,995,995,995,16.0,7.0,9,"Tuesday","NO","02:00:33","02:41:28","",""
"AREA A","american","Protocol 2",2,3000,1400,1600,0.0,0.0,0,"Sunday","NO","01:14:26","02:03:14","",""
"AREA B","chinese","Protocol 3",5,1450,150,850,73.0,73.0,118,"Tuesday","NO","02:42:16","04:01:45","YES","0038"
"AREA B","burger","Protocol 4",6,2725,275,550,24.0,20.0,21,"Friday","NO","00:25:58","01:02:24","",""
"AREA C","sandwich","Protocol 1",8,1080,120,325,1.0,1.0,0,"Monday","NO","15:42:06","16:30:10","YES","0039"
"AREA F","dessert","Protocol 5",2,875,350,525,"","","","Thursday","NO","05:19:51","05:38:17","YES","0040"
"AREA A","other","Protocol 1",1,1608,1329,1329,24.0,26.0,29,"Sunday","NO","22:38:32","23:10:58","",""
"AREA C","fast","Protocol 4",2,1351,499,579,"","","","Friday","NO","05:25:44","06:01:57","",""
"AREA C","alcohol","Protocol 1",1,1195,1095,1095,20.0,22.0,24,"Tuesday","NO","04:48:21","05:25:55","",""
"AREA A","fast","Protocol 4",1,699,699,699,14.0,7.0,6,"Monday","YES","22:04:28","22:30:07","",""
"AREA B","other","Protocol 3",8,7000,500,975,60.0,55.0,88,"Saturday","NO","02:20:48","03:31:16","",""
"AREA F","american","Protocol 3",2,1445,450,995,5.0,5.0,4,"Thursday","NO","01:54:57","02:47:39","YES","0041"
"AREA F","italian","Protocol 1",1,1470,1095,1095,"","","","Wednesday","NO","21:14:40","21:38:38","",""
"AREA B","sandwich","Protocol 3",2,1498,749,749,34.0,24.0,19,"Monday","NO","21:35:03","22:05:12","",""
"AREA B","dessert","Protocol 5",2,1393,456,508,139.0,128.0,202,"Sunday","NO","03:17:52","04:01:25","YES","0042"
"AREA E","indian","Protocol 3",2,1550,350,1200,48.0,25.0,46,"Wednesday","NO","02:46:22","03:20:49","",""
"AREA F","thai","Protocol 1",2,1790,795,795,"","","","Friday","NO","01:55:39","02:36:52","YES","0043"
"AREA C","italian","Protocol 1",4,5900,500,1600,5.0,3.0,3,"Wednesday","NO","23:45:07","00:29:29","",""
"AREA D","korean","Protocol 5",1,1149,1099,1099,59.0,62.0,87,"Tuesday","NO","04:17:40","05:00:34","",""
"AREA B","mexican","Protocol 5",2,3058,1499,1499,21.0,18.0,32,"Wednesday","NO","23:25:33","00:23:05","YES","0044"
"AREA D","mediterranean","Protocol 2",8,7575,500,1795,46.0,40.0,60,"Sunday","NO","20:57:45","22:18:58","",""
"AREA D","mediterranean","Protocol 2",2,2800,1350,1450,34.0,33.0,55,"Tuesday","NO","19:05:19","19:44:39","",""
"AREA D","cafe","Protocol 3",1,1345,1045,1045,7.0,6.0,7,"Friday","NO","17:18:31","17:40:47","",""
"AREA A","pizza","Protocol 1",3,3200,700,1800,26.0,26.0,31,"Sunday","NO","00:56:03","01:17:07","",""
"AREA A","american","Protocol 1",3,3900,1000,1600,46.0,48.0,55,"Tuesday","NO","02:37:47","03:23:02","",""
"AREA B","persian","Protocol 2",7,3298,50,1499,72.0,71.0,101,"Friday","NO","20:08:12","21:12:50","",""
"AREA E","pizza","Protocol 1",1,2130,1690,1690,53.0,50.0,90,"Saturday","NO","02:49:27","04:03:19","",""
"AREA A","mexican","Protocol 2",2,1690,695,995,8.0,8.0,9,"Sunday","NO","21:18:24","22:04:18","",""
"AREA C","italian","Protocol 1",4,4355,605,1485,4.0,2.0,4,"Saturday","NO","01:12:34","01:39:18","",""
"AREA B","japanese","Protocol 1",3,4285,1395,1495,66.0,90.0,67,"Tuesday","NO","04:19:19","04:45:15","",""
"AREA C","japanese","Protocol 1",3,2650,650,1125,20.0,15.0,15,"Sunday","NO","20:27:04","21:09:49","",""
"AREA D","mediterranean","Protocol 3",1,1500,950,950,35.0,44.0,56,"Monday","NO","21:07:16","21:57:00","",""
"AREA C","breakfast","Protocol 1",2,2138,1039,1099,20.0,21.0,21,"Saturday","NO","20:01:08","20:37:07","",""
"AREA D","korean","Protocol 2",1,2015,1425,1425,31.0,67.0,22,"Saturday","NO","23:18:05","23:57:32","",""
"AREA B","other","Protocol 3",1,1864,1395,1395,72.0,74.0,117,"Tuesday","NO","02:33:06","03:13:51","",""
"AREA C","smoothie","Protocol 5",2,1862,633,898,8.0,10.0,9,"Sunday","NO","22:47:01","23:29:35","",""
"AREA D","asian","Protocol 1",3,5300,1200,2600,79.0,77.0,139,"Saturday","NO","02:24:13","03:35:04","",""
"AREA A","pizza","Protocol 5",1,1135,735,735,27.0,24.0,24,"Thursday","NO","05:05:38","05:28:13","",""
"AREA D","vietnamese","Protocol 5",2,1470,595,875,105.0,102.0,163,"Sunday","NO","03:05:42","04:09:29","",""
"AREA E","indian","Protocol 2",5,6975,995,1795,63.0,63.0,86,"Tuesday","NO","01:36:52","02:55:03","YES","0045"
"AREA A","breakfast","Protocol 1",1,1200,1200,1200,30.0,30.0,34,"Sunday","NO","01:10:37","01:58:05","",""
"AREA B","vietnamese","Protocol 5",6,4370,150,950,67.0,62.0,88,"Friday","NO","19:38:53","20:23:43","",""
"AREA B","burger","Protocol 2",8,5343,325,1265,114.0,85.0,89,"Friday","NO","01:30:57","02:13:06","YES","0046"
"AREA D","steak","Protocol 1",3,8200,900,4400,56.0,52.0,66,"Tuesday","NO","01:47:52","02:40:15","",""
"AREA F","asian","Protocol 3",1,1609,1060,1124,"","","","Thursday","NO","21:03:10","21:37:35","",""
"AREA D","sandwich","Protocol 5",3,2048,100,1050,21.0,20.0,28,"Friday","NO","23:30:40","00:11:18","",""
"AREA C","pizza","Protocol 5",1,2495,1995,1995,26.0,26.0,40,"Monday","NO","02:28:38","04:42:04","",""
"AREA C","vegan","Protocol 1",4,2535,350,895,0.0,0.0,0,"Thursday","NO","23:19:36","00:07:59","",""
"AREA A","","Protocol 1",3,1748,199,1099,26.0,23.0,23,"Wednesday","NO","21:31:08","22:12:21","YES","0047"
"AREA A","pizza","Protocol 1",4,5350,700,1700,38.0,29.0,27,"Monday","YES","03:56:53","04:40:49","",""
"AREA D","salad","Protocol 5",2,880,165,715,14.0,10.0,13,"Monday","NO","18:02:10","19:13:24","YES","0048"
"","indian","Protocol 1",8,7380,425,2295,"","","","Thursday","NO","02:09:45","03:28:38","",""
"AREA C","american","Protocol 1",2,2250,1125,1125,9.0,9.0,18,"Monday","NO","20:31:02","21:50:51","",""
"AREA D","mediterranean","Protocol 2",9,5670,425,975,45.0,84.0,56,"Tuesday","NO","04:35:36","05:04:45","YES","0049"
"AREA D","afghan","Protocol 3",7,5460,215,975,13.0,12.0,14,"Wednesday","NO","19:31:59","20:23:11","",""
"AREA E","fast","Protocol 4",4,1895,350,675,14.0,10.0,9,"Saturday","NO","19:25:38","19:56:31","",""
"AREA D","american","Protocol 3",6,3045,295,550,6.0,3.0,3,"Tuesday","NO","16:10:09","17:07:15","",""
"AREA B","chinese","Protocol 5",4,4895,1055,1195,23.0,22.0,33,"Tuesday","NO","19:15:46","20:00:40","",""
"AREA D","vietnamese","Protocol 1",3,2145,626,695,83.0,81.0,123,"Saturday","NO","02:39:14","03:32:10","YES","0050"
"AREA B","american","Protocol 1",3,1427,79,1219,123.0,121.0,201,"Sunday","NO","02:52:16","03:54:20","YES","0051"
"AREA E","chinese","Protocol 4",4,3206,403,1200,31.0,30.0,28,"Tuesday","NO","02:56:26","04:01:09","YES","0052"
"AREA C","fast","Protocol 4",2,658,199,369,0.0,0.0,1,"Thursday","NO","17:39:44","18:02:44","",""
"AREA B","malaysian","Protocol 1",5,3205,295,895,93.0,88.0,169,"Sunday","NO","02:52:45","04:03:30","YES","0053"
"AREA C","american","Protocol 1",4,2296,549,599,25.0,25.0,28,"Tuesday","NO","01:37:57","02:32:10","YES","0054"
"AREA A","salad","Protocol 1",1,1470,900,900,10.0,10.0,14,"Sunday","NO","20:36:59","21:08:18","",""
"AREA F","mexican","Protocol 1",1,675,675,675,"","","","Monday","YES","00:35:04","01:00:50","",""
"AREA B","sandwich","Protocol 1",5,5195,549,1799,16.0,18.0,24,"Sunday","NO","23:06:18","23:51:09","YES","0055"
"AREA A","","",4,3924,199,1399,36.0,36.0,42,"Tuesday","NO","01:34:17","02:36:00","",""
"AREA E","american","Protocol 1",4,3295,350,1150,23.0,18.0,19,"Saturday","NO","23:54:00","00:32:02","",""
"AREA D","seafood","Protocol 1",2,2195,626,1702,111.0,111.0,190,"Thursday","NO","02:24:21","03:20:48","",""
"AREA A","brazilian","Protocol 3",6,8750,500,2000,16.0,14.0,16,"Sunday","NO","04:43:10","05:23:32","YES","0056"
"AREA A","fast","Protocol 4",3,1007,165,485,19.0,20.0,34,"Monday","NO","03:55:54","04:45:43","",""
"AREA A","japanese","Protocol 1",4,2200,350,650,15.0,15.0,23,"Monday","NO","01:52:12","02:48:21","",""
"AREA D","seafood","Protocol 1",4,4925,650,2000,40.0,31.0,34,"Saturday","NO","22:32:44","22:59:01","",""
"AREA C","american","Protocol 5",4,3850,450,1600,29.0,21.0,25,"Friday","NO","19:54:30","20:54:06","",""
"AREA A","burger","Protocol 1",4,2683,349,795,29.0,33.0,38,"Saturday","NO","04:18:50","05:23:39","",""
"AREA B","italian","Protocol 3",4,4198,0,2299,112.0,107.0,182,"Sunday","NO","02:21:19","03:23:58","YES","0057"
"AREA B","pizza","Protocol 3",1,1500,1500,1500,34.0,31.0,43,"Friday","NO","05:03:07","05:44:46","",""
"AREA B","barbecue","Protocol 3",1,2875,2475,2475,35.0,33.0,38,"Tuesday","NO","01:46:31","02:55:14","",""
"AREA E","peruvian","Protocol 2",2,2200,1000,1200,38.0,32.0,36,"Friday","NO","04:14:36","04:39:35","YES","0058"
"AREA A","chinese","Protocol 5",6,5150,450,1350,0.0,0.0,0,"Sunday","NO","02:23:21","03:25:39","",""
"AREA F","thai","Protocol 3",2,2500,1250,1250,"","","","Saturday","NO","03:48:21","04:34:14","",""
"AREA A","cafe","Protocol 4",1,345,345,345,18.0,18.0,26,"Saturday","NO","03:06:41","03:49:57","",""
"AREA B","alcohol","Protocol 5",4,4500,900,1200,40.0,41.0,65,"Thursday","NO","20:26:03","20:56:48","",""
"AREA C","seafood","Protocol 1",1,895,895,895,3.0,1.0,1,"Monday","NO","21:21:39","21:57:27","",""
